"","GEOID","NAME","zero_nine","ten_nineteen","twenty_thirtyfour","thirtyfive_fiftyfour","fiftyfive_sixtyfour","sixtyfive_more"
"90","25025120500","Census Tract 1205; Suffolk County; Massachusetts",230,149,1056,552,205,231
"91","25025120600","Census Tract 1206; Suffolk County; Massachusetts",251,108,1068,693,222,224
"92","25025120700","Census Tract 1207; Suffolk County; Massachusetts",157,81,879,497,180,345
"93","25025130101","Census Tract 1301.01; Suffolk County; Massachusetts",635,487,1208,1686,823,1209
"94","25025130200","Census Tract 1302; Suffolk County; Massachusetts",485,469,802,1240,712,1000
"95","25025130300","Census Tract 1303; Suffolk County; Massachusetts",517,492,736,1172,718,861
"96","25025130402","Census Tract 1304.02; Suffolk County; Massachusetts",445,448,959,1286,804,891
"97","25025130404","Census Tract 1304.04; Suffolk County; Massachusetts",301,273,597,739,501,662
"98","25025130406","Census Tract 1304.06; Suffolk County; Massachusetts",856,772,1268,1301,594,848
"99","25025140102","Census Tract 1401.02; Suffolk County; Massachusetts",504,660,1086,1290,708,710
"100","25025140105","Census Tract 1401.05; Suffolk County; Massachusetts",341,409,790,941,550,561
"101","25025140106","Census Tract 1401.06; Suffolk County; Massachusetts",279,323,500,519,246,311
"102","25025140107","Census Tract 1401.07; Suffolk County; Massachusetts",304,318,578,683,433,462
"103","25025140201","Census Tract 1402.01; Suffolk County; Massachusetts",269,268,475,641,343,315
"104","25025140202","Census Tract 1402.02; Suffolk County; Massachusetts",618,755,1203,1533,829,886
"105","25025140300","Census Tract 1403; Suffolk County; Massachusetts",692,793,1433,1745,953,1227
"106","25025140400","Census Tract 1404; Suffolk County; Massachusetts",781,907,1573,1934,1139,1525
"107","25025160102","Census Tract 1601.02; Suffolk County; Massachusetts",581,620,1044,1059,284,235
"108","25025160103","Census Tract 1601.03; Suffolk County; Massachusetts",684,747,1048,1300,407,460
"109","25025160200","Census Tract 1602; Suffolk County; Massachusetts",638,671,997,1253,340,255
"110","25025160300","Census Tract 1603; Suffolk County; Massachusetts",180,137,756,658,325,697
"111","25025160400","Census Tract 1604; Suffolk County; Massachusetts",478,456,1377,1004,305,258
"112","25025160501","Census Tract 1605.01; Suffolk County; Massachusetts",799,828,1547,1694,633,604
