"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2021,"Roxbury","Roxbury",292,615,36,220581660,380384471,24438150
2021,"South Boston","South Boston",1113,1449,59,918113682,952975708,21305733
2021,"South Boston Waterfront","South Boston Waterfront",138,110,3,144509024,89391090,1590847
2021,"South End","South End",620,783,35,653298304,619648246,13263284
2021,"West End","West End",52,65,1,32584426,32903034,113403
2021,"West Roxbury","West Roxbury",445,1170,109,265000912,517765122,21389942
2022,"Allston","Allston",76,56,11,1.18e+08,245240000,2505000
2022,"Back Bay","Back Bay",198,104,23,270570000,155790000,12445000
2022,"Beacon Hill","Beacon Hill",132,65,11,169160000,108625000,5095000
2022,"Brighton","Brighton",340,180,33,458670000,338700000,7175000
2022,"Charlestown","Charlestown",375,112,48,299705000,134400000,10530000
2022,"Chinatown","Chinatown",48,11,1,17860000,3145000,65000
2022,"Dorchester","Dorchester",901,760,186,604205000,486330000,41820000
2022,"Downtown","Downtown",121,64,9,181905000,87950000,2145000
2022,"East Boston","East Boston",649,191,44,447685000,169835000,11270000
2022,"Fenway","Fenway",90,53,7,111790000,360705000,1145000
2022,"Hyde Park","Hyde Park",294,325,97,159610000,127575000,17015000
2022,"Jamaica Plain","Jamaica Plain",490,225,85,339850000,181595000,18405000
2022,"Longwood","Longwood",2,3,0,790000,955000,0
2022,"Mattapan","Mattapan",127,161,39,77145000,64395000,5285000
2022,"Mission Hill","Mission Hill",57,35,1,82275000,144525000,405000
2022,"North End","North End",112,67,22,162570000,69325000,5380000
2022,"Roslindale","Roslindale",364,232,95,206210000,95590000,17235000
2022,"Roxbury","Roxbury",229,190,42,146605000,137880000,13370000
2022,"South Boston","South Boston",705,297,83,593735000,222975000,20335000
2022,"South Boston Waterfront","South Boston Waterfront",98,27,8,109360000,29485000,2010000
2022,"South End","South End",525,256,47,572505000,245190000,23005000
2022,"West End","West End",34,12,4,18520000,39240000,1180000
2022,"West Roxbury","West Roxbury",380,214,94,394740000,86870000,16560000
