"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2006,"Beacon Hill","Beacon Hill",175,419,7341327,13135221
2006,"Brighton","Brighton",517,926,16134470,16637750
2006,"Charlestown","Charlestown",221,555,5676870,16435337
2006,"Chinatown","Chinatown",200,651,9790061,30852972
2006,"Dorchester","Dorchester",837,1744,20851971,46509681
2006,"Downtown","Downtown",760,2422,38224342,118191668
2006,"East Boston","East Boston",274,604,8567573,14142811
2006,"Fenway","Fenway",285,491,9017657,12616880
2006,"Hyde Park","Hyde Park",279,595,8198971,15368844
2006,"Jamaica Plain","Jamaica Plain",471,821,15784541,16867737
2006,"Longwood","Longwood",8,27,139088,486808
2006,"Mattapan","Mattapan",171,285,3882263,4688112
2006,"Mission Hill","Mission Hill",105,239,2210441,5898205
2006,"North End","North End",319,826,14319371,30780016
2006,"Roslindale","Roslindale",280,589,7600030,5996236
2006,"Roxbury","Roxbury",331,681,9547036,30849938
2006,"South Boston","South Boston",481,1157,19841062,52136251
2006,"South Boston Waterfront","South Boston Waterfront",44,144,3542996,11649407
2006,"South End","South End",511,1235,17025823,34361544
2006,"West End","West End",113,356,4270849,11989646
2006,"West Roxbury","West Roxbury",379,714,12261168,11741393
2007,"Allston","Allston",396,660,7773944,19048043
2007,"Back Bay","Back Bay",555,1537,23321399,73533638
2007,"Beacon Hill","Beacon Hill",213,408,8415803,10404236
2007,"Brighton","Brighton",621,968,15366723,14505853
2007,"Charlestown","Charlestown",270,557,7273023,23262096
2007,"Chinatown","Chinatown",227,652,7961044,32615568
2007,"Dorchester","Dorchester",845,1566,20496060,34392603
2007,"Downtown","Downtown",786,2387,32759756,124277390
2007,"East Boston","East Boston",352,563,7514469,13103020
2007,"Fenway","Fenway",308,558,10671619,17611418
2007,"Hyde Park","Hyde Park",265,565,4513338,14183944
2007,"Jamaica Plain","Jamaica Plain",524,851,15592559,13030386
2007,"Longwood","Longwood",11,16,125318,358050
2007,"Mattapan","Mattapan",183,269,6002575,4014028
2007,"Mission Hill","Mission Hill",108,211,1940267,5529077
2007,"North End","North End",298,768,14132564,32701244
2007,"Roslindale","Roslindale",333,577,8867016,6355783
