"YEAR","GEOID","NAME","feara","fireprof","hced","other","prodcon","retail","x"
1999,"Zip Code 02127","Zip Code 02127",81,112,41,88,216,68,16
1999,"Zip Code 02128","Zip Code 02128",88,113,50,75,205,93,17
1999,"Zip Code 02129","Zip Code 02129",39,154,30,52,105,35,11
1999,"Zip Code 02130","Zip Code 02130",72,152,141,75,67,74,47
1999,"Zip Code 02131","Zip Code 02131",41,86,50,52,65,68,12
1999,"Zip Code 02132","Zip Code 02132",45,114,63,66,89,78,20
1999,"Zip Code 02134","Zip Code 02134",84,162,29,75,93,85,11
1999,"Zip Code 02135","Zip Code 02135",92,217,123,84,116,86,27
1999,"Zip Code 02136","Zip Code 02136",34,86,39,64,139,49,20
1999,"Zip Code 02210","Zip Code 02210",44,409,26,34,229,34,7
1999,"Zip Code 02215","Zip Code 02215",141,191,96,62,26,85,18
1999,"Zip Codes 02108-10","Zip Codes 02108-10",318,3049,142,310,243,317,41
2000,"Zip Code 02111","Zip Code 02111",108,471,100,109,79,105,20
2000,"Zip Code 02113","Zip Code 02113",78,31,11,13,12,30,1
2000,"Zip Code 02114","Zip Code 02114",94,395,129,73,51,71,18
2000,"Zip Code 02115","Zip Code 02115",147,187,90,88,21,84,47
2000,"Zip Code 02116","Zip Code 02116",320,975,178,215,112,389,48
2000,"Zip Code 02118","Zip Code 02118",71,203,87,54,156,75,24
2000,"Zip Code 02119","Zip Code 02119",40,63,58,52,79,59,24
2000,"Zip Code 02120","Zip Code 02120",16,35,55,22,3,12,11
2000,"Zip Code 02121","Zip Code 02121",13,14,30,23,28,26,18
2000,"Zip Code 02122","Zip Code 02122",53,108,53,75,100,89,30
2000,"Zip Code 02124","Zip Code 02124",44,80,118,92,73,75,44
2000,"Zip Code 02125","Zip Code 02125",52,76,52,57,82,68,31
2000,"Zip Code 02126","Zip Code 02126",28,32,39,37,39,51,16
2000,"Zip Code 02127","Zip Code 02127",80,122,44,78,204,68,21
2000,"Zip Code 02128","Zip Code 02128",88,109,47,72,204,96,20
2000,"Zip Code 02129","Zip Code 02129",42,159,25,50,104,36,15
2000,"Zip Code 02130","Zip Code 02130",74,149,144,82,78,83,60
2000,"Zip Code 02131","Zip Code 02131",46,76,52,56,63,68,20
2000,"Zip Code 02132","Zip Code 02132",47,116,63,70,88,77,18
2000,"Zip Code 02134","Zip Code 02134",82,155,37,68,83,87,13
2000,"Zip Code 02135","Zip Code 02135",92,213,125,82,111,86,35
2000,"Zip Code 02136","Zip Code 02136",32,84,43,67,138,49,24
2000,"Zip Code 02210","Zip Code 02210",39,387,27,35,221,38,7
2000,"Zip Code 02215","Zip Code 02215",142,193,89,77,30,75,19
