YEAR,GEOID,ilf_f,ilf_m,nilf_f,nilf_m,NAME
2020,25025050700,1321,2451,521,242,Census Tract 507
2020,25025050901,1391,1676,324,346,Census Tract 509.01
2020,25025051000,1468,1558,765,417,Census Tract 510
2020,25025051101,2046,2782,1125,593,Census Tract 511.01
2020,25025051200,962,1153,398,383,Census Tract 512
2020,25025060101,1412,1174,360,236,Census Tract 601.01
2020,25025060200,783,899,169,134,Census Tract 602
2020,25025060301,1760,1285,372,249,Census Tract 603.01
2020,25025060400,2070,1855,593,307,Census Tract 604
2020,25025060501,1529,1748,402,238,Census Tract 605.01
2020,25025060601,598,836,93,183,Census Tract 606.01
