"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2009,"25025140300","Census Tract 1403",16,67,290653,927907
2009,"25025140400","Census Tract 1404",6,32,161019,166477
2009,"25025980300","Census Tract 9803",,,,
2009,"25025980700","Census Tract 9807",,,,
2009,"25025980900","Census Tract 9809",,,,
2009,"25025981000","Census Tract 9810",,,,
2009,"25025981100","Census Tract 9811",0,1,0,7522
2009,"25025981201","Census Tract 9812.01",,,,
2009,"25025981202","Census Tract 9812.02",,,,
2009,"25025981300","Census Tract 9813",,,,
2009,"25025981501","Census Tract 9815.01",,,,
2009,"25025981502","Census Tract 9815.02",,,,
2009,"25025981600","Census Tract 9816",,,,
2009,"25025981700","Census Tract 9817",,,,
2009,"25025981800","Census Tract 9818",,,,
2009,"25025981900","Census Tract 9819",,,,
2010,"25025000101","Census Tract 1.01",7,47,443669,4928049
2010,"25025000102","Census Tract 1.02",8,57,542734,6028406
2010,"25025000201","Census Tract 2.01",11,34,1729896,1105845
2010,"25025000202","Census Tract 2.02",19,30,1919124,273777
2010,"25025000301","Census Tract 3.01",15,29,142257,420060
2010,"25025000302","Census Tract 3.02",11,24,814621,111390
2010,"25025000401","Census Tract 4.01",20,28,2313685,190570
2010,"25025000402","Census Tract 4.02",9,36,527424,1423910
2010,"25025000502","Census Tract 5.02",11,20,1150132,127494
2010,"25025000503","Census Tract 5.03",5,9,378400,65809
2010,"25025000505","Census Tract 5.05",4,7,297586,51754
2010,"25025000506","Census Tract 5.06",5,10,404360,70323
2010,"25025000601","Census Tract 6.01",8,34,75155,2943105
2010,"25025000603","Census Tract 6.03",2,12,85854,867060
2010,"25025000604","Census Tract 6.04",3,14,103375,1044012
2010,"25025000701","Census Tract 7.01",9,13,597210,318065
2010,"25025000703","Census Tract 7.03",9,9,173949,152038
2010,"25025000704","Census Tract 7.04",17,17,348106,304257
2010,"25025000804","Census Tract 8.04",23,59,1624044,939041
2010,"25025000805","Census Tract 8.05",28,74,2022292,1169312
2010,"25025000806","Census Tract 8.06",4,6,24912,66656
2010,"25025000807","Census Tract 8.07",3,6,24744,66206
2010,"25025010103","Census Tract 101.03",4,15,92601,665654
2010,"25025010104","Census Tract 101.04",16,51,1249444,1185026
2010,"25025010204","Census Tract 102.04",12,23,483136,786438
2010,"25025010205","Census Tract 102.05",6,17,496909,205365
2010,"25025010206","Census Tract 102.06",4,11,329077,133596
2010,"25025010300","Census Tract 103",0,4,0,19852
2010,"25025010403","Census Tract 104.03",4,14,310291,474265
2010,"25025010404","Census Tract 104.04",10,31,680138,1039561
2010,"25025010405","Census Tract 104.05",4,15,751674,82339
