YEAR,GEOID,native,foreign,NAME
1980,25025120201,2973,459,Census Tract 1202.01
1980,25025120301,3939,1215,Census Tract 1203.01
1980,25025120400,4754,1275,Census Tract 1204
1980,25025120500,1462,728,Census Tract 1205
1980,25025120600,2037,551,Census Tract 1206
1980,25025120700,1749,393,Census Tract 1207
1980,25025130101,5756,753,Census Tract 1301.01
1980,25025130200,4487,673,Census Tract 1302
1980,25025130300,4569,506,Census Tract 1303
1980,25025130402,4750,656,Census Tract 1304.02
1980,25025130404,2105,352,Census Tract 1304.04
1980,25025130406,3587,599,Census Tract 1304.06
1980,25025140102,3669,489,Census Tract 1401.02
1980,25025140105,3087,267,Census Tract 1401.05
1980,25025140106,1995,173,Census Tract 1401.06
1980,25025140107,2273,197,Census Tract 1401.07
1980,25025140201,1969,218,Census Tract 1402.01
1980,25025140202,5189,573,Census Tract 1402.02
1980,25025140300,4396,634,Census Tract 1403
1980,25025140400,5990,1419,Census Tract 1404
1980,25025980101,,,Census Tract 9801.01
1980,25025980300,,,Census Tract 9803
1980,25025980700,,,Census Tract 9807
1980,25025980900,,,Census Tract 9809
1980,25025981000,,,Census Tract 9810
1980,25025981100,,,Census Tract 9811
1980,25025981201,,,Census Tract 9812.01
1980,25025981202,,,Census Tract 9812.02
1980,25025981300,,,Census Tract 9813
1980,25025981501,,,Census Tract 9815.01
1980,25025981502,,,Census Tract 9815.02
1980,25025981600,,,Census Tract 9816
1980,25025981700,,,Census Tract 9817
1980,25025981800,,,Census Tract 9818
1980,25025981900,,,Census Tract 9819
1990,25025000101,1459,315,Census Tract 1.01
1990,25025000102,1711,370,Census Tract 1.02
1990,25025000201,2848,874,Census Tract 2.01
1990,25025000202,2924,934,Census Tract 2.02
1990,25025000301,2449,635,Census Tract 3.01
1990,25025000302,2427,629,Census Tract 3.02
1990,25025000401,3517,2072,Census Tract 4.01
1990,25025000402,2864,594,Census Tract 4.02
1990,25025000502,4318,1154,Census Tract 5.02
1990,25025000503,1785,563,Census Tract 5.03
1990,25025000505,1567,494,Census Tract 5.05
1990,25025000506,2091,659,Census Tract 5.06
1990,25025000601,2483,965,Census Tract 6.01
1990,25025000603,999,752,Census Tract 6.03
1990,25025000604,1632,1227,Census Tract 6.04
1990,25025000701,2877,1674,Census Tract 7.01
1990,25025000703,1503,967,Census Tract 7.03
1990,25025000704,3038,1954,Census Tract 7.04
1990,25025000804,1989,1261,Census Tract 8.04
1990,25025000805,2498,1522,Census Tract 8.05
1990,25025000806,1519,407,Census Tract 8.06
1990,25025000807,1390,373,Census Tract 8.07
1990,25025010103,3180,528,Census Tract 101.03
1990,25025010104,4578,869,Census Tract 101.04
1990,25025010204,2362,584,Census Tract 102.04
1990,25025010205,1836,454,Census Tract 102.05
1990,25025010206,1358,336,Census Tract 102.06
1990,25025010300,2383,239,Census Tract 103
1990,25025010403,2421,571,Census Tract 104.03
1990,25025010404,3173,749,Census Tract 104.04
1990,25025010405,4423,930,Census Tract 104.05
1990,25025010408,1057,261,Census Tract 104.08
1990,25025010500,2661,316,Census Tract 105
1990,25025010600,1597,372,Census Tract 106
1990,25025010701,2281,415,Census Tract 107.01
1990,25025010702,2190,399,Census Tract 107.02
1990,25025010801,2896,274,Census Tract 108.01
1990,25025010802,3018,286,Census Tract 108.02
1990,25025020101,4162,335,Census Tract 201.01
1990,25025020200,2911,475,Census Tract 202
1990,25025020301,1676,320,Census Tract 203.01
1990,25025020302,1055,203,Census Tract 203.02
1990,25025020304,98,19,Census Tract 203.04
1990,25025020305,1291,248,Census Tract 203.05
1990,25025030100,1715,239,Census Tract 301
1990,25025030200,1290,302,Census Tract 302
1990,25025030301,1090,160,Census Tract 303.01
1990,25025030302,1102,164,Census Tract 303.02
1990,25025030400,3104,528,Census Tract 304
1990,25025030500,1583,467,Census Tract 305
1990,25025040100,1767,84,Census Tract 401
1990,25025040200,1364,122,Census Tract 402
1990,25025040300,3889,158,Census Tract 403
1990,25025040401,2019,95,Census Tract 404.01
1990,25025040600,2057,86,Census Tract 406
1990,25025040801,2723,180,Census Tract 408.01
1990,25025050101,3208,861,Census Tract 501.01
1990,25025050200,2892,1101,Census Tract 502
1990,25025050300,1433,440,Census Tract 503
1990,25025050400,1297,689,Census Tract 504
1990,25025050500,1002,614,Census Tract 505
1990,25025050600,1055,608,Census Tract 506
1990,25025050700,2155,912,Census Tract 507
1990,25025050901,2370,797,Census Tract 509.01
1990,25025051000,3499,441,Census Tract 510
1990,25025051101,4433,778,Census Tract 511.01
1990,25025051200,1902,454,Census Tract 512
1990,25025060101,2950,219,Census Tract 601.01
1990,25025060200,2075,121,Census Tract 602
1990,25025060301,3059,147,Census Tract 603.01
