"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2008,"25025091100","Census Tract 911",58,34,4,15960554,12192656,399626
2008,"25025091200","Census Tract 912",20,25,2,7273456,8131156,69323
2008,"25025091300","Census Tract 913",29,8,0,4844440,2915635,0
2008,"25025091400","Census Tract 914",12,3,1,2794660,455356,448559
2008,"25025091500","Census Tract 915",51,21,5,12514803,6097687,462152
2008,"25025091600","Census Tract 916",21,7,1,5772822,1749381,271854
2008,"25025091700","Census Tract 917",26,14,4,6971698,5166587,104664
2008,"25025091800","Census Tract 918",32,9,1,7295205,2312119,5437
2008,"25025091900","Census Tract 919",17,12,1,4020722,4334714,108742
2008,"25025092000","Census Tract 920",30,21,3,7276175,7304720,51652
2008,"25025092101","Census Tract 921.01",68,53,4,18428988,18201990,188939
2008,"25025092200","Census Tract 922",42,24,4,14863622,8783606,159035
2008,"25025092300","Census Tract 923",17,18,2,5022505,6046035,527397
2008,"25025092400","Census Tract 924",35,13,2,10080350,3940525,400985
2008,"25025100100","Census Tract 1001",20,19,1,4225972,8620493,13593
2008,"25025100200","Census Tract 1002",25,11,1,6187399,3228267,163112
2008,"25025100300","Census Tract 1003",23,26,5,6256722,9442852,315351
2008,"25025100400","Census Tract 1004",38,38,3,11748175,13746302,95149
2008,"25025100500","Census Tract 1005",42,39,4,15551413,12044495,661965
2008,"25025100601","Census Tract 1006.01",75,37,4,20743826,12486258,625264
2008,"25025100603","Census Tract 1006.03",39,20,1,12387032,6949950,33982
2008,"25025100700","Census Tract 1007",47,68,6,15753945,23548002,1139069
2008,"25025100800","Census Tract 1008",62,62,7,20711204,21264428,549145
2008,"25025100900","Census Tract 1009",26,44,14,7966684,14476230,1534616
2008,"25025101001","Census Tract 1010.01",28,34,9,7477347,8753702,583127
2008,"25025101002","Census Tract 1010.02",24,24,5,6200992,7681238,483900
2008,"25025101101","Census Tract 1011.01",25,16,3,6678979,4798165,68952
2008,"25025101102","Census Tract 1011.02",20,16,7,5238629,4175679,708180
2008,"25025110104","Census Tract 1101.04",21,19,1,6958050,6786682,247851
2008,"25025110105","Census Tract 1101.05",22,19,2,7432331,7077339,234995
2008,"25025110106","Census Tract 1101.06",12,11,1,4042405,3849327,127812
2008,"25025110201","Census Tract 1102.01",9,16,3,2479421,5436693,24472
2008,"25025110301","Census Tract 1103.01",22,37,1,7950262,11652056,24462
2008,"25025110401","Census Tract 1104.01",31,32,5,8748265,11657103,1366067
2008,"25025110403","Census Tract 1104.03",36,54,5,11030480,18529574,731288
2008,"25025110501","Census Tract 1105.01",38,39,8,14719540,13357551,1023531
2008,"25025110502","Census Tract 1105.02",43,38,4,16237845,12079837,564097
2008,"25025110601","Census Tract 1106.01",30,39,4,13357551,14326711,286806
2008,"25025110607","Census Tract 1106.07",45,71,9,17797612,26212098,2165748
2008,"25025120103","Census Tract 1201.03",25,23,3,15517114,11538649,1003696
2008,"25025120104","Census Tract 1201.04",46,31,1,16788678,11527212,106696
2008,"25025120105","Census Tract 1201.05",37,35,5,23134773,17184856,1477659
2008,"25025120201","Census Tract 1202.01",41,31,3,13752119,10294669,1065717
2008,"25025120301","Census Tract 1203.01",44,38,6,16482678,13528199,1372732
2008,"25025120400","Census Tract 1204",88,107,5,36493692,45735372,2028032
2008,"25025120500","Census Tract 1205",26,17,4,6758293,6589743,604875
2008,"25025120600","Census Tract 1206",41,26,2,18385492,9393918,347973
2008,"25025120700","Census Tract 1207",33,26,1,12305818,9561990,20389
2008,"25025130101","Census Tract 1301.01",70,102,13,26023232,40298292,1597143
2008,"25025130200","Census Tract 1302",45,79,6,18838130,26591408,758473
2008,"25025130300","Census Tract 1303",44,81,11,19940498,31927904,1497916
2008,"25025130402","Census Tract 1304.02",60,68,10,25971580,23698880,342536
2008,"25025130404","Census Tract 1304.04",20,23,3,6816787,8129751,232509
2008,"25025130406","Census Tract 1304.06",36,42,5,12710494,15158630,433533
2008,"25025140102","Census Tract 1401.02",41,52,13,13206672,15494324,1003142
2008,"25025140105","Census Tract 1401.05",34,30,5,12178940,15668988,967416
2008,"25025140106","Census Tract 1401.06",16,15,2,4926481,4784919,218241
2008,"25025140107","Census Tract 1401.07",17,16,3,5177101,5028338,229343
2008,"25025140201","Census Tract 1402.01",19,22,1,6328763,7696190,6796
